PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,DIST_FEET,DIST_MILES,DIST_MILES_OFF,DIST_MILES_DEF,AVG_SPEED,AVG_SPEED_OFF,AVG_SPEED_DEF,SEASON,SEASON_TYPE,PT_MEASURE_TYPE
1630162,Anthony Edwards,1610612750,MIN,60,36,24,2109.0,762530,144.4,78.5,65.9,4.0,4.32,3.67,2025-26,Regular Season,SpeedDistance
1630264,Anthony Gill,1610612764,WAS,49,6,43,769.0,314293,59.5,31.9,27.6,4.31,4.59,4.02,2025-26,Regular Season,SpeedDistance
1641810,Antonio Reeves,1610612766,CHA,10,4,6,68.0,25185,4.8,2.6,2.1,4.31,4.34,4.09,2025-26,Regular Season,SpeedDistance
1630574,Ariel Hukporti,1610612752,NYK,52,34,18,455.0,185354,35.1,18.3,16.8,4.43,4.48,4.37,2025-26,Regular Season,SpeedDistance
1642854,Asa Newell,1610612737,ATL,42,22,20,453.0,196245,37.2,19.9,17.3,4.77,5.14,4.4,2025-26,Regular Season,SpeedDistance
1641709,Ausar Thompson,1610612765,DET,68,49,19,1769.0,704534,133.4,67.9,65.6,4.37,4.53,4.23,2025-26,Regular Season,SpeedDistance
1630559,Austin Reaves,1610612747,LAL,51,36,15,1762.0,631557,119.6,66.0,53.6,3.99,4.35,3.62,2025-26,Regular Season,SpeedDistance
1630245,Ayo Dosunmu,1610612750,MIN,66,34,32,1787.0,707360,134.0,71.2,62.8,4.35,4.76,3.97,2025-26,Regular Season,SpeedDistance
1628389,Bam Adebayo,1610612748,MIA,68,34,34,2199.0,845171,160.1,83.6,76.5,4.22,4.7,3.8,2025-26,Regular Season,SpeedDistance
1631248,Baylor Scheierman,1610612738,BOS,72,50,22,1309.0,509978,96.6,51.2,45.4,4.22,4.22,4.22,2025-26,Regular Season,SpeedDistance
1642879,Ben Saraf,1610612751,BKN,40,9,31,785.0,319941,60.6,33.1,27.5,4.39,4.73,4.05,2025-26,Regular Season,SpeedDistance
1641767,Ben Sheppard,1610612754,IND,65,16,49,1390.0,590635,111.9,58.7,53.1,4.71,4.96,4.45,2025-26,Regular Season,SpeedDistance
1631097,Bennedict Mathurin,1610612746,LAC,49,19,30,1504.0,589892,111.7,58.9,52.8,4.29,4.57,4.02,2025-26,Regular Season,SpeedDistance
1643016,Bez Mbeng,1610612762,UTA,12,1,11,358.0,153370,29.0,15.0,14.0,4.49,4.81,4.19,2025-26,Regular Season,SpeedDistance
1641731,Bilal Coulibaly,1610612764,WAS,53,14,39,1397.0,563140,106.7,56.2,50.4,4.43,4.7,4.15,2025-26,Regular Season,SpeedDistance
202687,Bismack Biyombo,1610612759,SAS,24,20,4,136.0,50584,9.6,5.3,4.3,4.13,4.23,4.01,2025-26,Regular Season,SpeedDistance
1642396,Blake Hinson,1610612762,UTA,11,3,8,214.0,86521,16.4,8.6,7.8,4.29,4.5,4.08,2025-26,Regular Season,SpeedDistance
1631104,Blake Wesley,1610612757,POR,28,18,10,353.0,150571,28.5,14.8,13.7,4.62,4.83,4.42,2025-26,Regular Season,SpeedDistance
1626171,Bobby Portis,1610612749,MIL,67,26,41,1619.0,616199,116.7,61.5,55.2,4.22,4.43,4.01,2025-26,Regular Season,SpeedDistance
1641752,Bobi Klintman,1610612765,DET,12,8,4,71.0,29748,5.6,2.9,2.8,4.73,5.0,4.63,2025-26,Regular Season,SpeedDistance
203992,Bogdan Bogdanović,1610612746,LAC,21,6,15,429.0,158312,30.0,16.2,13.8,4.18,4.52,3.85,2025-26,Regular Season,SpeedDistance
1630538,Bones Hyland,1610612750,MIN,68,41,27,1105.0,448591,85.0,45.3,39.6,4.39,4.7,4.07,2025-26,Regular Season,SpeedDistance
203078,Bradley Beal,1610612746,LAC,6,2,4,121.0,43718,8.3,4.4,3.9,4.4,4.45,4.34,2025-26,Regular Season,SpeedDistance
1642382,Branden Carlson,1610612760,OKC,38,30,8,393.0,155034,29.4,15.4,14.0,4.4,4.67,4.14,2025-26,Regular Season,SpeedDistance
1641764,Brandin Podziemski,1610612744,GSW,77,36,41,2189.0,877535,166.2,92.8,73.4,4.39,4.69,4.06,2025-26,Regular Season,SpeedDistance
1629634,Brandon Clarke,1610612763,MEM,2,1,1,20.0,8014,1.5,0.7,0.8,4.18,4.12,4.24,2025-26,Regular Season,SpeedDistance
1627742,Brandon Ingram,1610612761,TOR,72,40,32,2437.0,879313,166.5,87.4,79.1,3.99,4.27,3.73,2025-26,Regular Season,SpeedDistance
1641706,Brandon Miller,1610612766,CHA,61,39,22,1842.0,726265,137.6,77.3,60.3,4.25,4.58,3.89,2025-26,Regular Season,SpeedDistance
1630314,Brandon Williams,1610612742,DAL,65,22,43,1438.0,598394,113.3,61.4,52.0,4.56,4.98,4.16,2025-26,Regular Season,SpeedDistance
1641729,Brice Sensabaugh,1610612762,UTA,72,18,54,1679.0,652402,123.6,65.2,58.4,4.21,4.46,3.96,2025-26,Regular Season,SpeedDistance
1642355,Bronny James,1610612747,LAL,37,21,16,292.0,111005,21.0,11.7,9.3,4.17,4.43,3.88,2025-26,Regular Season,SpeedDistance
201572,Brook Lopez,1610612746,LAC,70,38,32,1502.0,536892,101.7,52.1,49.6,3.87,3.92,3.82,2025-26,Regular Season,SpeedDistance
1642964,Brooks Barnhizer,1610612760,OKC,37,28,9,283.0,116898,22.1,11.5,10.7,4.57,4.76,4.42,2025-26,Regular Season,SpeedDistance
